,pmid,title,abstract,include/exclude,drugs,disease,study type,association
0,27989839,Cilostazol and enzymatically modified isoquercitrin attenuate experimental colitis and colon cancer in mice by inhibiting cell proliferation and inflammation.,"We previously reported the anti-inflammatory effects of cilostazol, a selective inhibitor of phosphodiesterase 3, and two antioxidants, enzymatically modified isoquercitrin and  -lipoic acid in a dextran sodium sulphate-induced colitis mouse model. We further examined the chemopreventive effects of these substances in a murine azoxymethane/dextran sodium sulphate -induced colorectal carcinoma model and compared the effects with those of the well-known anticancer natural plant pigment, anthocyanin. In addition, the effects on cell proliferation activity were evaluated in colon cancer cell lines and mucosal epithelial cells in a model of acute dextran sodium sulphate-induced colitis. Cilostazol and enzymatically modified isoquercitrin improved the outcome of azoxymethane/dextran sodium sulphate-induced colorectal cancer along with anthocyanin though inhibiting inflammation and cell proliferation, but the effect of  -lipoic acid was minimal. Inhibition of cell proliferation by cilostazol was confirmed in  vitro. In the acute dextran sodium sulphate-induced colitis model, cilostazol and enzymatically modified isoquercitrin prevented the decrease in epithelial proliferative cells. These results indicate that cilostazol and enzymatically modified isoquercitrin first exhibited an anti-dextran sodium sulphate effect at the initial stage of colitis and then showed antitumour effects throughout subsequent inflammation-related cancer developmental stages.",include,cilostazol,colorectal cancer,In Vitro,Effective
1,26878064,Zinc Ionophore (Clioquinol) Inhibition of Human ZIP1-Deficient Prostate Tumor Growth in the Mouse Ectopic Xenograft Model: A Zinc Approach for the Efficacious Treatment of Prostate Cancer.,"Prostate cancer remains the second leading cause of cancer deaths in males. This is mainly due to the absence of an available efficacious chemotherapy despite decades of research in pursuit of effective treatment approaches. A plausible target for the treatment is the established clinical relationship that the zinc levels in the malignant cells are markedly decreased compared to the normal epithelium in virtually all cases of prostate cancer, and at all stages malignancy. The decrease in zinc results from the downregulation of the functional zinc uptake transporter, ZIP1; which occurs during early development of prostate malignancy. This is an essential requirement for the development of malignancy to prevent the cytotoxic/tumor-suppressor effects of increased zinc on the premalignant and malignant cells. Thus prostate cancer is a ZIP1-deficient malignancy. This relationship provides the basis for a treatment regimen that will facilitate the uptake and accumulation of zinc into the premalignant and malignant cells. In this report we employed a zinc ionophore (clioquinol) approach in the treatment of mice with human ZIP1-deficient prostate tumors (ectopic xenograft model). Clioquinol treatment resulted in 85%inhibition of tumor growth due to the cytotoxic effects of zinc. Coupled with additional results from earlier studies, the compelling evidence provides a plausible approach for the effective treatment of human prostate cancer; including primary site malignancy, hormone-resistant cancer, and metastasis. Additionally, this approach might be effective in preventing the development of malignancy in individuals suspected of presenting with early development of malignancy. Clinical trials are now required in leading to the potential for an efficacious zinc-treatment approach, which is urgently needed for the treatment of prostate cancer.",include,clioquinol,prostate cancer,In Vivo,Effective
2,20798593,Use of dabigatran etexilate to reduce breast cancer progression.,"Coagulation proteases and the generation of thrombin are increased in breast tumor epithelial and stromal cells. Since thrombin can modify tumor cell behavior directly through the activation of protease-activated receptors (PARs) or indirectly by generating fibrin matrices, the effect of dabigatran etexilate, a direct thrombin inhibitor, on breast cancer development was evaluated. Dabigatran inhibited invasiveness of MDA-MB-231 breast carcinoma cells across Matrigel-coated membranes at concentrations that had no effect on the proliferation index of cultured tumor cells. In vivo evaluation of invasiveness of MDA-MB-231 cells in tracheal xenotransplants in nude mice orally administered dabigatran etexilate twice daily at a dose of 45 mg/kg over 4 weeks demonstrated less invasion of tumor cells through the tracheal wall compared to vehicle-treated mice. To evaluate the effect of dabigatran on the development of metastatic foci, 4T1 tumor cells were injected orthotopically in the mammary fat pads of syngeneic Balb/c mice. Dabigatran etexilate treatment exhibited evidence of antitumor activity with a 50% reduction in tumor volume at 4 weeks following orthotopic injection of 4T1 cells in syngeneic Balb/c mice with no weight loss in treated mice. Dabigatran etexilate reduced both 4T1 tumor cells in the blood and liver micrometastases by 50-60%. These results suggest that oral administration of the direct thrombin inhibitor, dabigatran etexilate, inhibits both invasion and metastasis of malignant breast tumors, suggesting that it may be beneficial in not only preventing thrombotic events in cancer patients, but also as adjunct therapy to treat malignant tumors.",include,dabigatran etexilate,breast cancer,In Vitro/In Vivo,Effective
3,30685222,A study in a rat initiation-promotion bladder tumour model demonstrated no promoter/progressor potential of dapagliflozin.,"Dapagliflozin, a sodium-glucose co-transporter 2 (SGLT2) inhibitor, is indicated to improve glycaemic control in adults of type 2 diabetes. In nonclinical studies, dapagliflozin was neither genotoxic nor carcinogenic. However, in some clinical studies, an increased incidence of bladder cancer was observed in the dapagliflozin group vs. the placebo. Therefore, this study was undertaken to determine if dapagliflozin can act as a promoter in a 2-stage bladder cancer model in rats induced with N-butyl-N-(4-hydroxybutyl)-nitrosamine (BBN). Rats given BBN (100 or 400 mg/kg, po) twice weekly for 6 weeks in Phase 1 were assigned in Phase 2 to receive daily dose of vehicle, dapagliflozin (0.5 mg/kg, po) or uracil (positive control, 3% in diet) from weeks 8-34. All bladders were evaluated by histopathology. Verifying the validity of the model, uracil increased the incidence of bladder cancer, while dapagliflozin had no effect on the incidence or invasiveness of transitional cell carcinoma. The exposure of dapagliflozin at 0.5 mg/kg/day in rats was 7 times the clinical exposure at maximal therapeutic dose (10 mg). In conclusion, dapagliflozin does not act as promoter or progressor of bladder cancer in a validated bladder cancer model in rats.",include,dapagliflozin,bladder cancer,In Vivo,No effect
4,23074173,"The iron chelator, deferasirox, as a novel strategy for cancer treatment: oral activity against human lung tumor xenografts and molecular mechanism of action.","Deferasirox is an orally effective iron (Fe) chelator currently used for the treatment of iron-overload disease and has been implemented as an alternative to the gold standard chelator, desferrioxamine (DFO). Earlier studies demonstrated that DFO exhibits anticancer activity due to its ability to deplete cancer cells of iron. In this investigation, we examined the in vitro and in vivo activity of deferasirox against cells from human solid tumors. To date, there have been no studies to investigate the effect of deferasirox on these types of tumors in vivo. Deferasirox demonstrated similar activity at inhibiting proliferation of DMS-53 lung carcinoma and SK-N-MC neuroepithelioma cell lines compared with DFO. Furthermore, deferasirox was generally similar or slightly more effective than DFO at mobilizing cellular (59)Fe and inhibiting iron uptake from human transferrin depending on the cell type. However, deferasirox potently inhibited DMS-53 xenograft growth in nude mice when given by oral gavage, with no marked alterations in normal tissue histology. To understand the antitumor activity of deferasirox, we investigated its effect on the expression of molecules that play key roles in metastasis, cell cycle control, and apoptosis. We demonstrated that deferasirox increased expression of the metastasis suppressor protein N-myc downstream-regulated gene 1 and upregulated the cyclin-dependent kinase inhibitor p21(CIP1/WAF1) while decreasing cyclin D1 levels. Moreover, this agent increased the expression of apoptosis markers, including cleaved caspase-3 and cleaved poly(ADP-ribose) polymerase 1. Collectively, we demonstrate that deferasirox is an orally effective antitumor agent against solid tumors.",include,deferasirox,lung carcinoma,In Vitro/In Vivo,Effective
5,15517894,High efficacy of docetaxel with and without androgen deprivation and estramustine in preclinical models of advanced prostate cancer.,"BACKGROUND: To assess the activity of docetaxel in combination with hormonal therapy in preclinical models of prostate cancer. MATERIALS AND METHODS: Since prostate cancer has a predilection for the bone, we assessed the antitumor activity of docetaxel in in vivo models of both bone metastasis and localized prostate cancer, using MDA PCa 2b and PC3 cells in SCID mice. RESULTS: Dramatic antitumor efficacy was observed regardless of whether the tumor cells were implanted in the prostate or in the bone. Antitumor activity was also evident in both osteolytic and osteoblastic lesions. Reasoning that docetaxel efficacy might be enhanced if it were to be used earlier in the course of the disease, we studied the sequence of docetaxel and androgen ablation (part of standard treatment for early-stage prostate cancer) in the MDA PCa 2b xenograft model. The activity was similar whether docetaxel and androgen ablation were used alone, simultaneously, or in sequence, indicating a lack of synergism or antagonism. Finally, we studied the combination of docetaxel and estramustine on androgen-sensitive and androgen-independent cell lines in vitro and in vivo. Estramustine did not increase the activity of docetaxel in these models. CONCLUSION: These results provide a strong preclinical rationale for the clinical development of docetaxel for the treatment of both locally advanced and disseminated prostate cancer.",include,estramustine,prostate cancer,In Vitro/In Vivo,No effect
6,25550798,Effect of celecoxib combined with chemotherapy drug on malignant biological behaviors of gastric cancer.,"Celecoxib, a selective cyclooxygenase-2 (COX-2) inhibitor, has been reported to have antitumor effects. In some tumor models, the combination of celecoxib with chemotherapy agents has shown synergistic antitumor effect; however, the effect of celecoxib combination with tegafur/gimeracil/oteracil potassium on the malignant biological behaviors of gastric cancer in nude mice is unclear. In this study, female nude mice were subcutaneously transplanted with SGC-7901 gastric cancer cells. When the tumor model formed, the mice were divided into control group, celecoxib group, tegafur/gimeracil/oteracil potassium group, and the combination of both drug regimens group. Mice were treated for 3 weeks. Following treatment, the proliferating index was calculated, apoptosis related proteins, COX-2, vascular endothelial growth factor-C (VEGF-C) and lymphatic vessel density were quantified in tumor tissues by immunohistochemistry. Apoptosis was evaluated by TUNEL staining. The results revealed that celecoxib and tegafur/gimeracil/oteracil potassium alone significantly inhibited tumor growth. The combination of these two drugs showed a synergistic antitumor effect. Both celecoxib and tegafur/gimeracil/oteracil potassium alone inhibited proliferation and promoted apoptosis. The combination of these two drugs further enhanced this anticancer effect. Both celecoxib and the combination treatment inhibited lymphangiogenesis and the expression of COX-2 and VEGF-C. However, tegafur/gimeracil/oteracil potassium treatment had no obvious effect on lymphangiogenesis. These results suggested that the combination of celecoxib and tegafur/gimeracil/oteracil potassium produced a synergistic antitumor effect, possibly by inhibiting the proliferation of tumor cells and promoting apoptosis. Celecoxib and celecoxib in combination with tegafur/gimeracil/oteracil potassium possibly by reducing the expression of COX-2, in turn down-regulating the expression of VEGF-C, resulted in the inhibition of lymphangiogenesis.",include,celecoxib,gastric cancer,In Vivo,Effective
7,30414098,Mebendazole and radiation in combination increase survival through anticancer mechanisms in an intracranial rodent model of malignant meningioma.,"PURPOSE: Meningiomas are a frequent tumor of the central nervous system. Although mostly benign, approximately 5% present as atypical or malignant tumors. Treatments for atypical meningiomas include gross total resection and radiotherapy, but about 33% of patients have recurrent tumors, sometimes as a higher grade. Recently, the brain penetrant anthelmintic drug, mebendazole, has shown promise as an anticancer agent in rodent models of glioblastoma and medulloblastoma. METHODS: The half maximal inhibitory concentration (IC<sub>50</sub>) effect on colony formation, cell proliferation, and caspase-3/7 markers of apoptosis of mebendazole with and without radiation was measured in vitro. Mice intracranially implanted with KT21MG1 human meningioma were administered mebendazole alone or in combination with radiation. Survival benefit was evaluated, while tumors were investigated by immunohistochemical staining for apoptosis, cell proliferation, and vascular density. RESULTS: In vitro experiments on meningioma cell lines showed the IC<sub>50</sub> for mebendazole in the range of 0.26-0.42   M. Mebendazole alone induced cytotoxicity, however the combination had a greater reduction in colony formation and resulted in higher levels of cleaved caspase-3. The in vivo study showed both, mebendazole alone and the combination, to have a survival benefit with an increase in apoptosis, and decreases in tumor cell and vascular proliferation. CONCLUSION: These preclinical findings indicate that mebendazole alone or in combination with radiation can be considered for the treatment of malignant meningioma. The mechanism of action for this combination may include an increase in apoptosis, a reduction in proliferation and angiogenesis, or a combination of these effects.",include,mebendazole,meningioma,In Vitro/In Vivo,Effective
8,27470571,Candesartan attenuates angiogenesis in hepatocellular carcinoma via downregulating AT1R/VEGF pathway.,"Angiotensin II type 1 receptor (AT1R) was reported to express in many types of tumors, promoting tumor growth and angiogenesis. We herein examined AT1R expression in liver cancer and the potential antitumor effects of AT1R antagonist Candesartan in liver cancer. We found that AT1R expression was positively correlated with VEGF-A expression and microvascular density (MVD) in 40 HCC patients. Angiotensin II and Candesartan neither had effects on the proliferation of liver cancer cells in vitro. However, Angiotensin II upregulated AT1R protein expression and promoted production of VEGF-A in liver cancer cells in a dose-dependent manner. Candesartan was able to reverse this process in a dose-dependent manner. Moreover, Candesartan downregulated the expression of VEGF-A in SMMC-7721 bearing xenografts in mice and inhibited tumor growth and angiogenesis in vivo. Our data suggested that AT1R antagonist Candesartan might be useful to suppress liver cancer by inhibiting angiogenesis.",include,candesartan,liver cancer,In Vitro/In Vivo,Effective
9,22271897,The human immunodeficiency virus-1 protease inhibitor nelfinavir impairs proteasome activity and inhibits the proliferation of multiple myeloma cells in vitro and in vivo.,"BACKGROUND: Multiple myeloma is characterized by the accumulation of tumor plasma cells in the bone marrow. Despite therapeutic improvements brought by proteasome inhibitors such as bortezomib, myeloma remains an incurable disease. In a variety of human cancers, human immunodeficiency virus protease inhibitors (e.g. nelfinavir) effectively inhibit tumor progression, but their impact on myeloma is unknown. We assessed the in vitro and in vivo effects of nelfinavir on multiple myeloma. DESIGN AND METHODS: The effects of nelfinavir (1-10  M) on proteasome activity, proliferation and viability of myeloma cell lines and plasma cells from patients were assessed by measuring PERK, AKT, STAT3 and ERK1/2 phosphorylation and CHOP expression with immunoblotting or flow cytometry. The in vivo effect was assessed in NOD/SCID mice injected with luciferase expressing human myeloma cell lines and treated with nelfinavir at a dose of 75 mg/kg/day. Tumor progression was evaluated using a bioluminescent system. RESULTS: Nelfinavir inhibited 26S chymotrypsin-like proteasome activity, impaired proliferation and triggered apoptosis of the myeloma cell lines and fresh plasma cells. It activated the pro-apoptotic unfolded protein response pathway by inducing PERK phosphorylation and CHOP expression. Cell death triggered by nelfinavir treatment correlated with decreased phosphorylation of AKT, STAT3 and ERK1/2. Nelfinavir enhanced the anti-proliferative activity of bortezomib, dexamethasone and histone deacetylase inhibitors and delayed tumor growth in a myeloma mouse model. CONCLUSIONS: These results suggest that nelfinavir, used at a pharmacological dosage, alone or in combination, may be useful in the treatment of myeloma. Our data provide a preclinical basis for clinical trials using nelfinavir in patients with myeloma.",include,nelfinavir,multiple myeloma,In Vitro/In Vivo,Effective
